genome_id	st	family	carbapenemase	country	study
hNFZHi4TzoXS9HPc1dSDA8	ST3286	negative		Senegal	PRJEB29143
pnFzwi6DT6U9P7HitW1FMj	ST15	NDM	NDM-1	Nigeria	PRJEB27707
nL2Rwd36aKVaXBMmuKchbV	ST20	negative		SN	PRJEB78995
dZfePqBBSqwaWSZP1wwyxd	ST218	negative		Ghana	PRJEB56918
aV1sM8V81ttSdPBmseMK66	ST147	negative		Nigeria	PRJNA351846
geUM1oQYdtik6Xehr3Zscf	ST3282	negative		Senegal	PRJEB29143
iatBhmBrmLiAAiLsaRp5YH	ST15	negative		Nigeria	PRJEB29739
hN9QXqRKzHjwKe8aeifrGQ	ST395	NDM	NDM-1	Nigeria	PRJEB27707
aWGoHCv91FJnnizvSsmbKE	ST45	negative		Nigeria	PRJNA351846
jpRJy2sHoCEddK5MzjPAm8	ST1119	negative		Ghana	PRJEB56918
jTcoqu2MdhH2h4g6svP51p	ST36	negative		GH	PRJNA1126843
kUP4v3dKJP9skf3bHvwXUu	ST3613	negative		Nigeria	PRJNA351846
kqYjA4z1VWxyg1LQ1akVnQ	ST101	negative		Nigeria	PRJEB29739
uc7XTeozGMpUiurZSWSuWM	ST307	negative		Nigeria	PRJNA351846
xhNWCcrWXPqL9Ru7rU3mrt	ST15	negative		Nigeria	PRJNA351846
mbBUQEkWPfbuxaRBM3VeNf	ST25	negative		Nigeria	PRJEB29739
pvabPX7NiEvSwjZkUUaUuv	ST39	negative		Ghana	PRJNA473419
dyToryGFYPUg65sMmJ5YhD	ST1263	negative		Nigeria	PRJNA351846
wTdMVFMhJBMNS9NczV2jFY	ST39	negative		NG - Nigeria	PRJEB33565
8Zy84MWZMiScmkJwsiFnyQ	ST3157	negative		Nigeria	PRJEB56918
rvGui5euCpQhNxbsBaxRQK	ST5241	negative		Nigeria	PRJEB29739
koB4JkyTa9iuBJaS6ynr2d	ST464	negative		NG	PRJNA800729
k8xYz3zN61c7cXRqG1V9mj	ST3030	negative		Senegal	PRJEB29143
gUxVpQuVi3i99x2a1hsEc7	ST1189	negative		Senegal	PRJEB29143
j62D2jwXVD9t2v2ZiXNj24	ST5241	negative		Nigeria	PRJEB29739
r22EXMLiW4Z32nTtPaYYRY	ST340	negative		NG - Nigeria	PRJEB29739
wnY8BLJvKiKJj8EKgNEMqp	ST392	NDM	NDM-1	Nigeria	PRJEB56918
hv4tdSDtdCJiL7h8Erv8Qw	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
bJZWZD2FSBUWqM6DtiggqM	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
xyGww7Z1sR6wErTvaU1AXk	ST4	negative		Nigeria	PRJNA351846
4mRJucNety59xcCC1tY51j	ST73	negative		Nigeria	PRJEB29739
emScuqyhFJCc1HeEFEmvuE	ST17	negative		NG - Nigeria	PRJEB29739
iBWRLXhehPKCwucq4oFFBv	ST2655	negative		Senegal	PRJEB29143
pW1Kpbr4jEfJfJpkB7udD1	ST307	negative		Nigeria	PRJEB29739
r8hvFxtWhiAbUyg1kwXsir	ST530	negative		NG - Nigeria	PRJEB33565
kdUfqfNFMSrgBoucX5xvfP	ST45	negative		NG - Nigeria	PRJEB33565
8UQhM26DjirjJRY7tk4fiJ	ST133	negative		NG - Nigeria	PRJEB33565
j9ZShn3RZeenuS7oiH6gYa	ST17	negative		Nigeria	PRJEB29739
sB3AMskB74w4RxSkWLsher	ST397	negative		Senegal	PRJEB29143
viX7qNyijfnBPd9ruFm8we	ST76	negative		NG - Nigeria	PRJEB33565
mhumFeLBiEKJ31MhCzA8vb	ST4332	negative		Ghana	PRJNA473419
5f2Wsts6UszDxa6ggD49MU	ST397	negative		Senegal	PRJEB29143
nxs8abV3G6H4G7mikPrnuF	ST219	negative		Nigeria	PRJEB29739
bS81DVrppm6u5fWTkYFQ7B	ST147	negative		Nigeria	PRJEB29739
5CNpBnF5H4n9eHHomRLzQT	ST101	negative		Nigeria	PRJEB29739
7osKw9nwAbzmFk8SAZCCVq	ST661	negative		Senegal	PRJEB29143
utzjj6oLjCnX7gZM8dEmkc	ST15	negative		Nigeria	PRJEB56918
aFmgnCiB28KNQAe6qxxKur	ST76	negative		NG - Nigeria	PRJEB33565
cocDC5PVaDCsHxNGfWc5k3	ST5248	negative		Nigeria	PRJEB29739
8kVbukWkaFEqdXzhiXoBpf	ST342	negative		NG - Nigeria	PRJEB29739
kaiogLxCJLSa245NCTkt9g	ST716	negative		Nigeria	PRJNA351846
oGSv5BjAnBd2ofvw7ZBZEz	ST17	OXA	OXA-181	Ghana	PRJEB37523
cdbaGrHDemPtw1BgydfcvJ	ST14	negative		Ghana	PRJNA473419
6Yx8hEXhsdHNMdjcnHpdXj	ST111	negative		Nigeria	PRJEB29739
hAbwaa2M11aDucG5dNcx6N	ST22	negative		Nigeria	PRJEB29739
ov8R6Jr2mE8UgaeeqheaFP	ST502-1LV	negative		SN	PRJEB78995
dgL11DroRQLtr1f55o8bTr	ST147	negative		Nigeria	PRJNA351846
kVaSn9PWDtVoXozYzBTQFk	ST147	NDM	NDM-1	Ghana	PRJEB56918
rSffqw8uKXHjTgvArFBgq7	ST392	negative		Nigeria	PRJEB29739
miwMhf78aTEavL2snrWv8o	ST17	negative		NG - Nigeria	PRJEB29739
jVsruuu8Mj75YfkzqpdtsP	ST3271	negative		Senegal	PRJEB29143
fh4M2ynawwkpe9bESyogqC	ST3293	negative		Senegal	PRJEB29143
bV4RhJMeAGN5HN3w7U73N2	ST244	NDM	NDM-1	Nigeria	PRJEB39293
vtgvqBT53v8fF46ctdA8wB	ST5241	negative		Nigeria	PRJEB29739
umyMDwpZFUJdhx8vnF28oZ	ST5243	negative		Nigeria	PRJEB29739
pchsxW6orFh8S3vDcUZoVx	ST397	negative		Senegal	PRJEB29143
aipP1e8eQesusYkxTMLP3u	ST219	OXA	OXA-48	Nigeria	PRJEB29739
jE5MBuuESAgX1U37dXCbVV	ST1658	negative		Senegal	PRJEB29143
cLnu3gj3nHHhWDddjKVqpA	ST392	negative		Nigeria	PRJEB29739
92wiTibEdTeNBpqY17uE8E	ST5239	negative		Nigeria	PRJEB29739
dAkZRDf8BnMSmHg38GM8rm	ST1788	OXA	OXA-48	Nigeria	PRJNA351846
eH94miV6WHVNfQjumX6o7R	ST5241	negative		Nigeria	PRJEB29739
mZQaeb3FczXTW5Z5S3MwVo	ST592	negative		NG - Nigeria	PRJEB33565
7hnX9PJywogzyRrzeEeVfk	ST873	negative		Nigeria	PRJNA351846
ppPWXTxt911sQikKZ64yQ2	ST5469	negative		Nigeria	PRJEB56918
4rJRoHYr5NR82wGsPzD5vn	ST502	negative		Nigeria	PRJEB29739
4Rve9vkKjgmV9RdsLuAftK	ST65	negative		GH	PRJNA906096
k6jL9xWt1Di2np5pYwysKb	ST25	negative		Nigeria	PRJEB29739
azNWjydAsZsWq5oBkJZpsG	ST348	negative		NG - Nigeria	PRJEB33565
bdwVoBzdHnEN9SvqNbikxT	ST716	negative		Nigeria	PRJNA351846
8iTG3rswnZSXfdyUnnin2P	ST25	negative		NG - Nigeria	PRJEB29739
kvBvKLVWrLzSZ2bJfyvXeG	ST1263	negative		Senegal	PRJEB29143
fs5SV1mCiSjT1fyFMjF6VZ	ST25	negative		Ghana	PRJEB37523
wzDKTANo7rKwooQZ846smZ	ST1962	negative		Senegal	PRJEB29143
cGYL9WzsyTTm9hRXfqGYGn	ST4408	negative		NG - Nigeria	PRJEB33565
