genome_id	st	family	carbapenemase	country	study
8PBMxwG1U2WaAyyVedcK11	ST540	NDM	NDM-1	Ghana	PRJEB38442
hfQYsRNWpdeZBK7B1g76BR	ST815	negative		NG - Nigeria	PRJEB33565
jj5m1fz4JbfRLGmD548WR6	ST25	negative		Ghana	PRJEB37523
kYMbynLb8HU4zrcBkbYkH9	ST3248	negative		Ghana	PRJNA473419
sAw5HbYFaHi6GVG2gyUbGW	ST307	negative		Nigeria	PRJEB29739
w5Ju2HjwAnSNu2zaZLcPe5	ST968	negative		Senegal	PRJEB29143
o7ZNphmQDDp6U23oNmT1F6	ST464	NDM	NDM-7	Nigeria	PRJEB39293
dP2G69R9JYhdUHH1QF2v2w	ST14	negative		Nigeria	PRJNA351846
iwi5npfx9osTxgTVKTk87T	ST16	negative		Nigeria	PRJNA351846
oocPAdbbXbiWBWdWg7aYuk	ST1401	negative		Senegal	PRJEB29143
ce21hb7zojMnor7zg5sWZa	ST101	negative		Nigeria	PRJEB29739
sjbJuWVDRiDDqNnEJyPAkY	ST17	OXA	OXA-181	Ghana	PRJEB37523
xdNsKsPiEWkzU1GEMC1i6m	ST1035	negative		Nigeria	PRJNA351846
jas4phQXkagxhCyPHioY9i	ST252	negative		Ghana	PRJNA473419
mRcHS7TgKD2g46yZERJDdp	ST3248	negative		NG - Nigeria	PRJEB33565
27Ru2zdMwBbPvcvNupdnRx	ST17	negative		NG - Nigeria	PRJEB33565
eR5kicJVi4tWZdTzoSQtoD	ST15	negative		Nigeria	PRJEB29739
1FuNVd4tgXsAV9NYkp4824	ST307	negative		Nigeria	PRJEB29739
c4GTL4K9vYXFBPKGyxKQ4X	ST20	NDM	NDM-1	NG - Nigeria	PRJEB33565
u7J4WButML2okadV4zrfkY	ST3268	negative		Senegal	PRJEB29143
qFjC5wtsMs7Mx9esCZwse4	ST15	negative		Ghana	PRJNA473419
kJNnXoD8vixEUPVE2DqeAz	ST1801	negative		Nigeria	PRJEB29739
7v9Nq4PcZg5wXgoxJUe8Yn	ST1658	negative		Nigeria	PRJNA351846
5D1JBtLHpQK42J1vJ8DXSP	ST8	negative		Nigeria	PRJNA351846
kzMniy1Ghag8qUvFLaDQKa	ST3108	negative		Senegal	PRJEB29143
tz3KKQTzSeRctTL127zPKF	ST17	OXA	OXA-181	Ghana	PRJEB37523
82eR6GZey3tNBaqHGtxGzw	ST17	OXA	OXA-181	Ghana	PRJEB37523
8bSGN5wekQSzMu67jP73ZP	ST307	negative		Nigeria	PRJEB56918
tG6acDHGobY51suiQSFBKX	ST17	OXA	OXA-181	Ghana	PRJEB37523
mZ82Nevx73s1WDbcNDRULC	ST147	NDM	NDM-1	Nigeria	PRJEB27707
k9JCAPMxurzSKXmtzZYL5T	ST17	OXA	OXA-181	Ghana	PRJEB37523
vGtJVDvJbXimrzWLDFZdXQ	ST70	negative		Ghana	PRJNA473419
tRwz3rgZ949fz2WZhyGu7T	ST2457-1LV	negative		Nigeria	PRJEB56918
tCDM3F6zSTTBUgKunyb8sH	ST17	negative		Nigeria	PRJEB29739
2Zgx7whbCctjN9tBdvUggB	ST2729	negative		Nigeria	PRJEB56918
d9CdBxjfAoMmmG61oZuuKN	ST12	negative		Nigeria	PRJNA351846
xpuYKKN33xUwEFEHcYNxrv	ST4410	NDM	NDM-1	NG - Nigeria	PRJEB33565
gWctNQwWhVx3SHvoycbz5o	ST17	OXA	OXA-181	Ghana	PRJEB37523
mrbKzGk1dyjdEhyvwp9UH5	ST6337	negative		Nigeria	PRJEB56918
vPnNvNW6p1ALprg57MTF4k	ST17	OXA	OXA-181	Ghana	PRJEB37523
3A34G7y3D2ARzcjgdhtEqr	ST1962	negative		Senegal	PRJEB29143
ep4NAxRxYEM4xd8FEHYC6d	ST17	OXA	OXA-181	Ghana	PRJEB37523
2HLjQ9mr1jyR9L4XFAeF9E	ST152	negative		Senegal	PRJEB29143
fstHdZDYbS5mHrCxcBxm1p	ST12	negative		Nigeria	PRJNA351846
cn2BAN2ymgY9j4cHSULQco	ST307	negative		Nigeria	PRJEB29739
65GXWu7971WMZfcK6f2yRL	ST17	OXA	OXA-181	Ghana	PRJEB37523
1X3RHR1R9T3bHHmdytUUzm	ST15	NDM	NDM-1	Nigeria	PRJEB27707
o27LtUbbnM7sAbWc5HMNwp	ST1662	negative		Senegal	PRJEB29143
3ETZnCVSXG1XhYMeJg44uh	ST15	negative		Nigeria	PRJEB29739
96cksz4WjidZG4XXudpBGN	ST716	negative		Nigeria	PRJNA351846
saQY2KcQvxx3dmBCmfJKbA	ST340	OXA	OXA-181	Nigeria	PRJEB29739
4CEinHPjbqftRKokEeVUgV	ST15-1LV	negative		SN	PRJEB78995
6mvRGZipdvWcmDtzSe6mMc	ST147	NDM	NDM-1	Nigeria	PRJEB27707
9LPpTDMF2gYTgpLoGeYXV2	ST502	negative		Nigeria	PRJEB29739
vkdwdm7JH34D88Q6BcT7eq	ST464	NDM	NDM-7	Nigeria	PRJEB39293
1c7a62n9V8BQPaEkvjMDc4	ST12	negative		Nigeria	PRJNA351846
vcDCfmYBJncwYdGQG2mpfR	ST25	negative		NG - Nigeria	PRJEB29739
iwr1hdHsuVcU4yvsihvFMj	ST340	negative		Nigeria	PRJEB29739
jhNV3ZPRuaxd87WdMV1a1B	ST307	negative		Nigeria	PRJEB29739
mhDuTKMYCV1V842nethQWY	ST11	negative		Nigeria	PRJEB29739
5wTxRTqNZjtEuvGGj4Mx5Y	ST307	negative		Ghana	PRJNA473419
p3uE7VsE14c6D5LHnqXS1M	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
fFWpeg8oUzsKkkvSLF3V9L	ST70	negative		Ghana	PRJEB56918
uL3CKBQ4ihoSFt3qZssevL	ST147	negative		Nigeria	PRJEB56918
4vecoti19U8QYh9yiWeTgo	ST25	negative		Ghana	PRJEB37523
fqWJ9K2QRMJH8qE2eUujtf	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
oSeqP5cRrnXMcfoxkK8tBH	ST342	negative		NG - Nigeria	PRJEB29739
85P8Lz6iBLgADQsNbQj49m	ST215	negative		Nigeria	PRJEB56918
sGGgYrWZsF3yCUZpU2GhEW	ST45	negative		Nigeria	PRJNA351846
wCwAFpJj3FF7zouFf7cV13	ST48	negative		Nigeria	PRJNA351846
ci5L8cj5N8sZma9eJaXag5	ST3294	negative		Senegal	PRJEB29143
gfuP6GHjDZQ8BgLZEcDuXt	ST17	OXA	OXA-181	Ghana	PRJEB37523
pbk2WX17WrWWJNqoAEyhm9	ST147	NDM	NDM-1	Nigeria	PRJEB27707
2NgpXYhueejuSuTAZyHPeh	ST25	negative		NG - Nigeria	PRJEB29739
dj8cNasQccRhPLsXQLMzjz	ST20	NDM	NDM-1	NG - Nigeria	PRJEB33565
obEJj5XuFzXAkKQ79jF21X	ST48	negative		Ghana	PRJNA473419
57nUkCKDPaeekz89J7aebq	ST3283	negative		Senegal	PRJEB29143
kQbFftPeNydrTFLKm1gTh7	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
fhgmyF2yUq7AWaDrvx7pma	ST11	negative		Nigeria	PRJEB29739
7TqRpehZ2qcivjv7zqcvTp	ST76	negative		NG - Nigeria	PRJEB33565
vPwBSvhKtWDxodfhjCnXmP	ST307	negative		Nigeria	PRJEB56918
jPBM7SVA1a7tG9wqKzPojF	ST48	negative		Nigeria	PRJNA351846
ryJoVzNXJBEpGiXoCUBbzD	ST1303	negative		Senegal	PRJEB29143
1a2iUfdSziZ4bAcFoFiyba	ST111	negative		Nigeria	PRJEB56918
56rtBCLAfwhp1Mc8VrFiSU	ST5241	negative		Nigeria	PRJEB29739
9aiHzthWfG36nY5FfEZgt5	ST25	negative		Ghana	PRJEB37523
tTtLMUXkFaaF2sdixGjgda	ST101	negative		Nigeria	PRJNA351846
bxRyRAsmc1ZnVJrXNYtSzs	ST108	negative		Nigeria	PRJNA351846
dzY5QotexRbxt2v6A8kejo	ST504	negative		Senegal	PRJEB29143
iby3wEYc9KeyTJd87zTnVv	ST2159	negative		GH	PRJNA906096
wUVBBmrNkX5ZbJQDo53r4F	ST15	negative		NG - Nigeria	PRJEB29739
xnrt1fvSQyjy6gwiDTPA2u	ST234	OXA	OXA-181	SN	PRJEB78995
wBsYnQ5pxWiCw9S5y5GFKb	ST964	negative		Nigeria	PRJEB56918
iry46BEny3LZM3U4XPWx8a	ST3287	negative		Senegal	PRJEB29143
7j2nkQAgfkTrfc46osTtuW	ST1087	negative		Senegal	PRJEB29143
9ZPqEpyvM7PSSoLwHHc7rT	ST336	negative		Ghana	PRJNA473419
eCM2uKJm1Rvj2HdoVyeWSW	ST3258	negative		Senegal	PRJEB29143
oPJnj2ekm9kUCNXgLdtzbP	ST4	negative		Nigeria	PRJEB29739
tsvXV4uJf6PCRLXXJqesZr	ST1666	negative		Senegal	PRJEB29143
21ZLrXeeHyHuywWtJokdwu	ST5241	negative		Nigeria	PRJEB29739
wEaCTewaPHHud6H82H5S4P	ST14	negative		Ghana	PRJNA473419
rq2cfjS6BAaV3WXFujUqVi	ST147	NDM	NDM-1	Nigeria	PRJEB27707
fvPvDLDTbv9MXXid3Zwz1i	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
aamPQGKaDvqCKgnosBKWZM	ST3687	negative		Nigeria	PRJNA351846
oKpzouhqV9EMw2cBQFoTea	ST307	negative		Nigeria	PRJEB29739
6UmGxRCHX4KJH5mnLTkHCQ	ST307	negative		NG - Nigeria	PRJEB33565
4h4NT5tASN8UP1dyqRDtMQ	ST3261	negative		Senegal	PRJEB29143
pbakVCetQtCKuteTnFQt5f	ST3116	negative		Senegal	PRJEB29143
iMG8H4Co69RHQYk1sNSRfJ	ST133	negative		NG - Nigeria	PRJEB33565
kwFfuopSUkAHHfF5viRbLn	ST13	negative		Senegal	PRJEB29143
nKztEJxaQRFH8q7CjZuMPR	ST147	negative		Ghana	PRJEB58695
mqJ6wVvYaSXMY6adcBANCp	ST18	negative		Ghana	PRJEB58695
pxzvtyf3M2fbPCQVXbFgtW	ST225	negative		Senegal	PRJEB29143
bbHjmhHU6Pj3HNf8irc8vE	ST22	negative		Cameroon	PRJEB58695
odMkneuyvBekXi3t5gd65n	ST17	OXA	OXA-181	Ghana	PRJEB37523
g8rdjWUAm2LL6rJJG5ZTf3	ST429	negative		Nigeria	PRJNA351846
in1AN9CPk4tMGdvygfSXWw	ST45	negative		Senegal	PRJEB29143
9pTFk2Q553efjZBE6rP2iq	ST248	negative		GH	PRJNA1126843
1giVL9n6jnoY6zzeySmeSr	ST18	negative		Ghana	PRJEB58695
3Y7gynbx2o4aKcDkKys25x	ST43	negative		Nigeria	PRJEB56918
rvmkKyu1SvuhNSPf1h2J5m	ST831	negative		Nigeria	PRJNA351846
7WnDm43QrjNec8vtWHPf7M	ST4	negative		Nigeria	PRJNA351846
4mp1yaqsPNm9uZkL9czRdK	ST377	NDM	NDM-1	NG - Nigeria	PRJEB33565
oB4cB8RSV8ofjFjJBLLXVj	ST5242	negative		Nigeria	PRJEB29739
hdJoa1YA1B7mvkzuzMLcYi	ST43	NDM	NDM-1	Nigeria	PRJEB29739
henhQq47DRAjYrmkCVsKCV	ST530	negative		Nigeria	PRJNA351846
uhxVFMVtnDEK915m5ssmj8	ST3341	negative		Senegal	PRJEB29143
iMLULs49BoiE2u7Tx6voK5	ST3338	negative		Senegal	PRJEB29143
mVQsapn1bgGpHbYNDGgQ2F	ST48	negative		Nigeria	PRJNA351846
rQAC9uaqCQymXUxiu4nCbw	ST3157	negative		Senegal	PRJEB29143
7K7X7kT9JLVHLYBf49wCrZ	ST964	negative		GH	PRJNA1126843
gLNzBYyV8st6sWjPyPhU9a	ST147	negative		Ghana	PRJEB58695
n88HMJpDkkCZSdT8jyMHPv	ST307	negative		NG - Nigeria	PRJEB29739
sqcCF27u2Jk2Ts9AhftTbT	ST101	negative		NG - Nigeria	PRJEB29739
aHCoEKTpfBd4z7hFqkjynA	ST514	negative		Senegal	PRJEB29143
a3jRseYa9Hb5Bmt2GmFMww	ST3297	negative		Senegal	PRJEB29143
rD3YSY9RHtK82EVsqADyd3	ST147	negative		Nigeria	PRJEB56918
vwqte6pbD3kh7mfEzLFxWh	ST716	negative		Nigeria	PRJNA351846
vD7DP7MSiKLCFChzFi9k4d	ST392	OXA	OXA-48	SN	PRJEB78995
rws57o7sLQkpt9evDWMvdv	ST443	negative		Senegal	PRJEB29143
6osF4xvGWgnyHoxMuxoDon	ST17	OXA	OXA-181	Ghana	PRJEB37523
kmLw1MA31sJ5vV4LmNnd97	ST86	negative		Ghana	PRJEB56918
kYpJkJhU9K19EBkXL3AknW	ST4410	NDM	NDM-1	NG - Nigeria	PRJEB33565
nanSgc31C6YiaJwjhG7znD	ST502	negative		NG - Nigeria	PRJEB29739
dWYEoHDKeqzX8wfTZUcQgU	ST17	negative		Senegal	PRJEB29143
oDFqoJXXZ81zPqaoNhVE5T	ST17	OXA	OXA-181	Ghana	PRJEB37523
38EhiTUsV53CgpEmxhMfb3	ST3267	negative		Senegal	PRJEB29143
g81Vzmtwb5xGbWJGsihxa8	ST39	negative		Senegal	PRJEB29143
wKyxRrzd6s8XXDwpq4f6Ue	ST249	negative		Senegal	PRJEB29143
5HDYNgA78QsL5YqK9KNQfa	ST17	OXA	OXA-181	Ghana	PRJEB37523
wozRdyq36eTDcd11qo7qFd	ST111	negative		Senegal	PRJEB29143
jTfSN5GgDbYyf6cCjXrfc9	ST530	NDM	NDM-5	Nigeria	PRJEB29739
vc96La2inKC8EGjWVdn1JA	ST25	negative		Nigeria	PRJNA351846
gYuyXa9wDFdJ7wYo5JU7W7	ST464	negative		NG	PRJNA800729
rH4HKQKMAjf9Xmi4wyu5E7	ST36	negative		Senegal	PRJEB29143
hS3E85jgMkxLjxWH5aZooS	ST4	negative		Nigeria	PRJEB29739
xjLQK2fYg9Ukdtozg4Sp7F	ST1886	negative		Senegal	PRJEB29143
3AYPL1eoPCAFhjikjJtcNG	ST37	negative		Senegal	PRJEB29143
8ybhuB6zFo6L8KJnHV6bzJ	ST48	negative		NG - Nigeria	PRJEB33565
5DPLDNgVqAUYMxUBNnpX8d	ST395	NDM	NDM-1	NG - Nigeria	PRJEB33565
dsDG3ZSWiJrxk62Cu9pfMV	ST37	negative		SN	PRJEB78995
9WgXfV9ohbX114RJ1XEZYn	ST5244	negative		NG - Nigeria	PRJEB29739
mK9drvor3FCJz3m45cgZ9F	ST65	negative		Ghana	PRJEB56918
1dD6dr1Xx318F5sMym8mPK	ST392	negative		Nigeria	PRJEB29739
c7BPuXQTy5V3bPRc263poc	ST307	negative		Nigeria	PRJEB29739
eMHFZzFv6jFJNsLQGdPAph	ST307	negative		Nigeria	PRJEB29739
vMANRNokQGFTwxTbb1sDjg	ST392	negative		Nigeria	PRJEB29739
tKWU41iH2r9hDFNqMo9xbA	ST39	negative		NG - Nigeria	PRJEB33565
2y22DkeAoh6baAXP63VZ73	ST25	negative		Ghana	PRJEB37523
a6jMNgedDsnr896tvEX8rG	ST307	negative		Nigeria	PRJEB29739
js2XkEcLLtJFqcTM647gMS	ST405	negative		Nigeria	PRJNA351846
dY98fxa1J8N6hj2A3dZSW1	ST15	negative		Nigeria	PRJEB29739
i9Zyqzf9zeWVTVeChLW2gK	ST15	negative		Nigeria	PRJEB29739
r3dEtv2UKyaUSEhVKQAE3a	ST48	negative		Nigeria	PRJNA351846
avsR3aoHWpKrxHtbuQJNE3	ST86	negative		GH	PRJNA906096
fkfw6v8V5L9fpaVQcDcdgq	ST1788	negative		Nigeria	PRJNA351846
nBu5iKHZw6KcKiVff7Mo42	ST147	negative		Nigeria	PRJEB56918
pUYpyHTa6mLcXXTvmu17cj	ST277	negative		Ghana	PRJEB56918
3u2M4bP8E8FEtts9NL8zwh	ST48	negative		Nigeria	PRJNA351846
1iGatNMGEwozrc3CjTqTTQ	ST15	negative		Nigeria	PRJEB29739
8FYWd8LThvZ9Y6Zyieybuu	ST15	negative		Ghana	PRJEB56918
bBHa1P5WFEGbN4QvntczMf	ST39	negative		NG	PRJNA800729
8vAtrMRq8rShG8498C3APo	ST307	negative		Nigeria	PRJEB29739
rw2FnQ9Nw47SuVPECecaxS	ST395	NDM	NDM-1	NG - Nigeria	PRJEB33565
bDNoj7CmbDi3YdUm9rnnHv	ST17	OXA	OXA-181	Ghana	PRJEB37523
gQ4RZhU2Fq2NHHHt1X3xxs	ST442	NDM	NDM-1	NG - Nigeria	PRJEB33565
tSegnv1aExMCpKgLcipTWc	ST5247	negative		Nigeria	PRJEB29739
cZL9YucYxMRgRYSKqHAkf9	ST231	negative		Nigeria	PRJNA351846
oHcLQJA47C4uM2MstCcNZs	ST307	negative		Ghana	PRJNA473419
p1V1vBbEzcSCkdctSoxGvv	ST86	negative		GH	PRJNA906096
7a1ykxskJv1qapxJNywMed	ST1418	negative		Nigeria	PRJNA351846
mEG2yitB17xAx7RyB2TzFe	ST788	negative		Senegal	PRJEB29143
n2CUoGTd9tVyrfiBT4ETed	ST147	negative		Ghana	PRJEB58695
6aL7vq4KJdTV79PSuj1GVz	ST3273	negative		Senegal	PRJEB29143
rxVfJKht4cLS5bLKSJDCKR	ST17	OXA	OXA-181	Ghana	PRJEB37523
jvQjgseJhm24Wn9LABXPvi	ST14	negative		Nigeria	PRJNA351846
ddfGdB7UXRCGALkKxmFaLN	ST403	negative		NG - Nigeria	PRJEB29739
hcU92hFmNNiurjLw162jVV	ST151	negative		Senegal	PRJEB29143
9JRe5HbixsAja9CCPWngkQ	ST307	negative		Nigeria	PRJNA351846
tezudZ1n1Gw9XUJ9TSWAi3	ST45	negative		Ghana	PRJNA473419
fBGYQSGSRgUXkxAfUzEgjM	ST25	negative		Nigeria	PRJNA351846
nM1MnsiU3sBdJUL3nWp3ka	ST584	negative		SN	PRJEB78995
2BhSj3cMz4594YSASwtxkL	ST16	negative		Nigeria	PRJNA351846
faypdcoEdQ83fxa2afSAzK	ST37	negative		Senegal	PRJEB29143
ejSuDDKNELtXastMKdP4Gn	ST742-1LV	negative		Nigeria	PRJNA800729
e5mdCN625ogAAYe5GmcRV7	ST307	negative		NG - Nigeria	PRJEB29739
pgkxyugKU2zuw5sikZPgng	ST1119	negative		Senegal	PRJEB29143
xgpU71frMpZk9hN4NX7dRs	ST340	negative		Nigeria	PRJEB29739
jHHRPhXLii1thENvb2beLw	ST101	negative		NG - Nigeria	PRJEB29739
eg8oUWgBXJvf811JNgE1hX	ST528	negative		Senegal	PRJEB29143
sEcKy31N8HPrfyASy8cmMa	ST48	OXA	OXA-181	Ghana	PRJEB37523
9Uhc2FSEo32fmMFRJYhcUU	ST73	negative		NG - Nigeria	PRJEB33565
tnDHfYfwy9D5yExRP7cXYM	ST530	NDM	NDM-5	Nigeria	PRJEB29739
hW2fuA7K2os5f23Tb3Me4V	ST1801	negative		Nigeria	PRJEB29739
8NV8QKADQ1BfixSmgJy7Uc	ST12	negative		Nigeria	PRJNA351846
jBWJnZFCPoUasGYswoHSLE	ST307	negative		NG - Nigeria	PRJEB29739
46UxQkGvaUxFbWw1rB64GG	ST39	NDM	NDM-7	Nigeria	PRJEB39293
uvEkq8mRRQPLumxuH3dDwK	ST985	negative		NG - Nigeria	PRJEB33565
58aMnX4kKX9ABNVDDPNY9Z	ST1049	negative		Senegal	PRJEB29143
wWnFWWZgQSRdZXLHG7jxP7	ST39	negative		Nigeria	PRJNA351846
bquu8zBfyYvHZZL78qD6tj	ST17	negative		Nigeria	PRJNA351846
8VXzR8XaRRP1JhFB24qeEc	ST101	negative		Nigeria	PRJEB56918
kqeLJxAzwr882v6QkeP2k1	ST17	negative		Nigeria	PRJNA351846
w5D7sGqDTbHY3uzAgdVS9g	ST147	negative		NG - Nigeria	PRJEB29739
dsMn34yULN54GxBEgXT361	ST5243	negative		Nigeria	PRJEB29739
aHQ3Jixe7VnXW3ieupEnPf	ST11	NDM	NDM-5	NG - Nigeria	PRJEB33565
x3LoLQefs6Bsf7wC8SHqPC	ST307	NDM	NDM-1	Nigeria	PRJEB29739
uE5yuLRjxRh8HEaZzJ8qyu	ST13	negative		SN	PRJEB78995
spa5BonHmewtQxFfRGzo3Z	ST20	NDM	NDM-1	NG - Nigeria	PRJEB33565
9sE5qy5xqsGY2xaodzMopi	ST147	negative		NG - Nigeria	PRJEB29739
3AJK3c5jFBmgxDy2gChsW6	ST5240	negative		Nigeria	PRJEB56918
bzCc3Xerf8PwGcW2vKZFtx	ST5241	negative		Nigeria	PRJEB29739
pDiV8Gt7SwFFgreytfi7Hs	ST101	negative		Nigeria	PRJNA351846
azq911uyDWwcXBStdjpCVW	ST5241	negative		Nigeria	PRJEB29739
xguuWbXG7xoxRmrunrFe1U	ST3613	negative		Nigeria	PRJNA351846
xaMyne9sa6U6DnZNNRE8F6	ST17	OXA	OXA-181	Ghana	PRJEB37523
d7R2MQLB35hj2Ej9upd6M1	ST39	negative		Cameroon	PRJEB58695
i3xxvB6hAz3pnsd5StVfSj	ST3278	negative		Senegal	PRJEB29143
dJStMMFAC2bmA8Scq4nvtK	ST867	negative		Senegal	PRJEB29143
wT6WCsfjiMQNCCZwBv3VpS	ST2141	negative		Senegal	PRJEB29143
7aR3p2hMP7yySU3AEsfjTf	ST1801	negative		Nigeria	PRJEB29739
6oNoQHjmb7nLnwfFmS5698	ST3340	negative		Senegal	PRJEB29143
j65sj7HHAym69X7cTXkdAB	ST3111	negative		Senegal	PRJEB29143
e2FN2dMA7TPmZQ8fRP7V1j	ST45	negative		Nigeria	PRJNA351846
iNE6FvQH4fXR8XwrPTUzfh	ST464	NDM	NDM-7	NG - Nigeria	PRJEB33565
