comparison	gene	n_positive_with	n_positive	n_reference_with	n_reference	pct_positive	pct_reference	crude_or	crude_p	cmh_or	cmh_p	n_strata	crude_q	cmh_q
any	aph(3')-VI	28	99	0	458	28.3	0.0	inf	2.8582238317135926e-23	inf	5.100588636960476e-16	9	2.1722501121023303e-22	9.691118410224904e-15
any	aph3-Ia	28	99	46	458	28.3	10.0	3.53	1.0555780061891095e-05	0.9	0.975945089145682	9	2.865140302513297e-05	0.975945089145682
any	armA	26	99	3	458	26.3	0.7	54.02	3.6495830997070665e-18	79.22	2.9534556334907866e-12	9	1.7335519723608565e-17	1.8705219012108314e-11
any	arr-3	7	99	12	458	7.1	2.6	2.83	0.05862667527137139	1.88	0.31263713986941766	9	0.1054840927964587	0.47520845260151484
any	catA1	10	99	55	458	10.1	12.0	0.82	0.7301807119272805	0.5	0.05285342860179666	9	0.8408141531283836	0.12552689292926708
any	catII.2	23	99	78	458	23.2	17.0	1.47	0.15179470345351628	1.23	0.7677986134091905	9	0.21363699004568956	0.8581278620455659
any	dfrA1	10	99	23	458	10.1	5.0	2.13	0.06106973793479188	0.72	0.9416226501224502	9	0.1054840927964587	0.9670719109365704
any	dfrA12	59	99	19	458	59.6	4.1	34.08	3.728683140534319e-36	24.01	5.6852929533774535e-18	9	1.4168995934030412e-34	2.1604113222834322e-16
any	dfrA14	42	99	166	458	42.4	36.2	1.3	0.25400546326412976	1.64	0.1807914557486916	9	0.3217402534678977	0.31408715173648794
any	dfrA15	11	99	76	458	11.1	16.6	0.63	0.22137306732971035	0.3	0.002189132464822404	9	0.2900750537423791	0.006399002589480873
any	dfrA27	2	99	12	458	2.0	2.6	0.77	1.0	0.47	0.609571130905739	9	1.0	0.7472162249812285
any	mphA	23	99	39	458	23.2	8.5	3.25	0.0001300949226573084	2.47	0.09381610941100255	9	0.00032957380406518124	0.19805623097878314
any	mphE	30	99	3	458	30.3	0.7	65.94	1.8467166094737414e-21	103.39	2.9150923726682476e-15	9	1.0025033022857454e-20	2.215470203227868e-14
any	msrE	30	99	3	458	30.3	0.7	65.94	1.8467166094737414e-21	103.39	2.9150923726682476e-15	9	1.0025033022857454e-20	2.215470203227868e-14
any	qnrB1	17	99	86	458	17.2	18.8	0.9	0.7765825039899809	1.36	0.5248374358198764	9	0.8679451515182139	0.687718019350183
any	qnrB2	10	99	16	458	10.1	3.5	3.1	0.014169863491726324	5.21	0.06635315193143781	9	0.026922740634280018	0.14831881019968454
any	qnrS1	50	99	76	458	50.5	16.6	5.13	9.163341862651378e-12	1.42	0.47622584432873627	9	3.165518098006839e-11	0.6702437809071102
any	rmtB	28	99	0	458	28.3	0.0	inf	2.8582238317135926e-23	inf	7.739307472435144e-08	9	2.1722501121023303e-22	3.676171049406693e-07
any	strA	54	99	229	458	54.5	50.0	1.2	0.43892695740732957	0.61	0.237100088363617	9	0.5380394961767265	0.3917305807746716
any	strB	55	99	220	458	55.6	48.0	1.35	0.18481099705189435	0.88	0.8638881213627885	9	0.25081492457042803	0.9366969300930928
any	sul1	53	99	131	458	53.5	28.6	2.88	3.4361339548029476e-06	1.66	0.04486805968009732	9	1.004408386788554e-05	0.11366575118957988
any	sul2	52	99	255	458	52.5	55.7	0.88	0.5791485201247504	0.56	0.18183992995270354	9	0.6877388676481411	0.31408715173648794
any	tet(A)	58	99	120	458	58.6	26.2	3.98	2.175014139594532e-09	1.92	0.032324785430976256	9	6.887544775382685e-09	0.08773870331264984
any	tet(D)	12	99	115	458	12.1	25.1	0.41	0.005227911538933403	0.31	0.001120904173187873	9	0.010455823077866806	0.0035495298817615974
any	tet(G)	28	99	0	458	28.3	0.0	inf	2.8582238317135926e-23	inf	7.739307472435144e-08	9	2.1722501121023303e-22	3.676171049406693e-07
NDM	CTX-M-15	54	60	245	458	90.0	53.5	7.82	1.0096009370711703e-08	6.97	0.0018618877389815838	9	4.5432042168202664e-08	0.008378494825417127
NDM	LAP-2	1	60	28	458	1.7	6.1	0.26	0.23298819613963911	0.0	0.26139397953201804	9	0.34137222383886795	0.4952728033238237
NDM	Mrx	4	60	38	458	6.7	8.3	0.79	0.8052951914438687	0.34	0.5249217609835639	9	0.8785038452114932	0.7896489508427812
NDM	OXA-1	40	60	148	458	66.7	32.3	4.19	5.492140047571292e-07	3.18	0.006715813620087588	9	2.196856019028517e-06	0.026863254480350353
NDM	SCO-1	1	60	21	458	1.7	4.6	0.35	0.49575675813460285	0.48	0.6899221194929677	9	0.6374015461730609	0.8628451051028974
NDM	SHV-12	1	60	9	458	1.7	2.0	0.85	1.0	0.86	0.16832123833746399	9	1.0	0.40397097200991355
NDM	aac(3)-IIa	32	60	215	458	53.3	46.9	1.29	0.4099014629066754	1.23	0.7654209458031231	9	0.5465352838755672	0.879329535613591
NDM	aac(3)-IId	6	60	16	458	10.0	3.5	3.07	0.031715368386138774	2.1	0.5264326338951875	9	0.07135957886881224	0.7896489508427812
NDM	aac(6')-Ib-cr	41	60	158	458	68.3	34.5	4.1	8.152966869656403e-07	2.84	0.018396768173197332	9	2.935068073076305e-06	0.06622836542351039
NDM	aadA	10	60	50	458	16.7	10.9	1.63	0.19842626242006783	0.9	0.9047403466270162	9	0.31062673610966857	0.9211758011115924
NDM	aadA1	0	60	15	458	0.0	3.3	0.0	0.23706404433254719	0.0	0.10068338306096473	9	0.34137222383886795	0.25890012787105215
NDM	aadA16	2	60	9	458	3.3	2.0	1.72	0.3704571226559476	2.9	0.852656602066183	9	0.5129406313697736	0.9101352717635243
NDM	aadA2	31	60	33	458	51.7	7.2	13.77	3.9545568299083917e-16	22.32	2.53541951967125e-11	9	2.372734097945035e-15	1.52125171180275e-10
NDM	aph(3')-VI	27	60	0	458	45.0	0.0	inf	9.86318016810557e-29	inf	9.06028449951846e-17	9	1.4943089854964326e-27	3.2617024198266455e-15
NDM	aph3-Ia	2	60	46	458	3.3	10.0	0.31	0.10101317496231174	0.59	0.6950696679995562	9	0.191393384139117	0.8628451051028974
NDM	armA	25	60	3	458	41.7	0.7	108.33	5.325118669249409e-23	110.76	6.744253627177575e-13	9	4.792606802324467e-22	4.855862611567854e-12
NDM	arr-3	7	60	12	458	11.7	2.6	4.91	0.0032592601962636593	3.22	0.05572225283117217	9	0.008380954790392267	0.1671667584935165
